Name,YearsAppearing,ImputedProbF,ImputedProbM
BASHAR,6,0,1
BASHEER,4,0,1
BASHIR,15,0,1
BASIL,16,0,1
BASIM,5,0,1
BASIT,12,0,1
BASMA,12,1,0
BASMAH,4,1,0
BASMALA,3,1,0
BASSAM,5,0,1
BASSEL,2,0,1
BASTIAN,2,0,1
BASTIEN,1,0,1
BASYA,5,1,0
BATHSHEBA,1,1,0
BATOOL,14,1,0
BATOUL,3,1,0
BATSHEVA,10,1,0
BATU,4,0,1
BATUHAN,11,0,1
BATUL,3,1,0
BATYA,6,1,0
BAVISHA,1,1,0
BAVITA,1,1,0
BAWAN,8,0,1
BAWER,1,0,1
BAXTER,12,0,1
BAY,8,0.775992063492064,0.224007936507936
BAYA,4,1,0
BAYAN,8,1,0
BAYDEN,6,0,1
BAYLA,1,1,0
BAYLEA,3,1,0
BAYLEE,16,0.459185695259268,0.540814304740732
BAYLEIGH,16,0.793649622772241,0.206350377227759
BAYLEN,1,0,1
BAYLEY,16,0.172453685346996,0.827546314653004
BAYLIE,13,0.660989010989011,0.339010989010989
BAYRAM,5,0,1
BAZIL,1,0,1
BEA,12,1,0
BEAR,4,0,1
BEATA,6,1,0
BEATRICE,16,1,0
BEATRIS,2,1,0
BEATRISA,1,1,0
BEATRIX,16,1,0
BEATRIZ,15,1,0
BEATTIE,1,1,0
BEAU,16,0.285981575645655,0.714018424354345
BEAUMONT,6,0,1
BEAUREGARD,1,0,1
BEAUTY,1,1,0
BEAUX,7,1,0
BEBE,11,1,0
BECA,15,1,0
BECCA,11,1,0
BECCI,3,1,0
BECK,15,0,1
BECKETT,4,0,1
BECKHAM,8,0,1
BECKI,10,1,0
BECKIE,10,1,0
BECKS,1,0,1
BECKY,16,1,0
BEDE,13,0,1
BEDIRHAN,5,0,1
BEDRAN,1,0,1
BEDWYR,12,0,1
BEE,4,1,0
BEENISH,2,1,0
BEGUM,5,1,0
BEGW,6,1,0
BEHESHTA,2,1,0
BEHZAD,2,0,1
BEIBHINN,2,1,0
BEILA,1,1,0
BEJNA,1,1,0
BEKI,1,1,0
BEKIM,1,0,1
BEKIR,1,0,1
BEKKI,4,1,0
BELA,7,1,0
BELAL,16,0,1
BELEN,4,1,0
BELICIA,2,1,0
BELIEVE,1,0,1
BELINAY,3,1,0
BELINDA,16,1,0
BELLA,16,1,0
BELLA-GRACE,1,1,0
BELLA-LOUISE,3,1,0
BELLA-MAE,2,1,0
BELLA-MAI,2,1,0
BELLA-MARIE,1,1,0
BELLA-MAY,1,1,0
BELLA-ROSE,4,1,0
BELLANGE,1,1,0
BELLATRIX,1,1,0
BELLE,16,1,0
BELYNDA,1,1,0
BEN,16,0,1
BENAIAH,6,0,1
BENARD,2,0,1
BENAS,8,0,1
BENAZIR,1,1,0
BENCE,6,0,1
BENDE,1,0,1
BENEAMIN,1,0,1
BENEDEK,2,0,1
BENEDETTA,1,1,0
BENEDICT,16,0.00392738799430387,0.996072612005696
BENEDICTA,12,1,0
BENEDICTE,11,1,0
BENEDIKT,6,0,1
BENET,5,0,1
BENETT,2,0,1
BENHUR,1,0,1
BENI,7,0,1
BENIAH,1,0,1
BENIAMIN,6,0,1
BENICIA,1,1,0
BENICIO,3,0,1
BENITA,15,1,0
BENITO,16,0,1
BENJAMAN,7,0,1
BENJAMEN,13,0,1
BENJAMIN,16,0,1
BENJAMIN-JAMES,1,0,1
BENJAMINE,2,0,1
BENJAMYN,5,0,1
BENJI,11,0,1
BENJIMAN,9,0,1
BENJIMIN,2,0,1
BENJY,3,0,1
BENN,16,0,1
BENNET,1,0,1
BENNETT,9,0,1
BENNI,1,0,1
BENNIE,1,0,1
BENNY,14,0,1
BENOIT,12,0,1
BENSON,14,0,1
BENTE,1,1,0
BENTLEE,1,0,1
BENTLEY,16,0,1
BENTON,6,0,1
BENYAMEEN,2,0,1
BENYAMIN,13,0,1
BENZION,2,0,1
BERAT,9,0,1
BERAY,1,1,0
BERCEM,1,1,0
BERDAN,8,0,1
BEREN,11,0.22492784992785,0.77507215007215
BERENICE,7,1,0
BERES,1,0,1
BERFIN,16,1,0
BERHAN,1,0,1
BERIL,2,1,0
BERISH,1,0,1
BERITAN,3,1,0
BERIVAN,7,1,0
BERK,7,0,1
BERKAN,14,0,1
BERKAY,14,0,1
BERKE,8,0,1
BERNA,2,1,0
BERNADETTE,16,1,0
BERNADINE,1,1,0
BERNARD,16,0,1
BERNARDAS,1,0,1
BERNARDO,7,0,1
BERNICE,16,1,0
BERNIE,8,0,1
BERRA,3,1,0
BERRI,1,1,0
BERRIE,3,1,0
BERRY,12,1,0
BERT,11,0,1
BERTAN,6,0,1
BERTHA,1,1,0
BERTIE,16,0,1
BERTRAM,16,0,1
BERTRAND,7,0,1
BERTY,1,0,1
BERYL,11,1,0
BERZAN,6,0,1
BESARTA,1,1,0
BESIANA,1,1,0
BESMIR,1,0,1
BESNIK,1,0,1
BESS,9,1,0
BESSIE,14,1,0
BESSY,1,1,0
BESTE,1,1,0
BETANIA,2,1,0
BETH,16,1,0
BETH-ANNE,3,1,0
BETHAN,16,1,0
BETHANE,1,1,0
BETHANEE,1,1,0
BETHANEY,11,1,0
BETHANI,12,1,0
BETHANIE,16,1,0
BETHANN,1,1,0
BETHANNEY,1,1,0
BETHANNIE,7,1,0
BETHANY,16,1,0
BETHANY-,1,1,0
BETHANY-ANN,6,1,0
BETHANY-ANNE,7,1,0
BETHANY-JADE,1,1,0
BETHANY-JANE,4,1,0
BETHANY-JAYNE,3,1,0
BETHANY-JO,2,1,0
BETHANY-LOUISE,6,1,0
BETHANY-MAE,2,1,0
BETHANY-MAI,1,1,0
BETHANY-MAY,1,1,0
BETHANY-ROSE,11,1,0
BETHEL,11,0.966942148760331,0.0330578512396694
BETHEN,4,1,0
BETHENY,7,1,0
BETHIA,14,1,0
BETHINN,1,1,0
BETHLEHEM,7,1,0
BETHNEY,6,1,0
BETHONY,2,1,0
BETI,2,1,0
BETIEL,2,1,0
BETIM,1,0,1
BETSAN,14,1,0
BETSEY,6,1,0
BETSI,7,1,0
BETSIE,7,1,0
BETSY,16,1,0
BETSY-BO,1,1,0
BETTE,1,1,0
BETTIE,5,1,0
BETTINA,8,1,0
BETTY,16,1,0
BETTY-MAY,1,1,0
BETUEL,1,0,1
BETUL,8,1,0
BETZALEL,3,0,1
BEULAH,13,1,0
BEVAN,16,0,1
BEVERLEY,16,1,0
BEVERLY,10,1,0
BEVIN,2,0.5,0.5
BEVIS,1,0,1
BEXLEY,3,0,1
BEYONCE,10,1,0
BEYZA,12,1,0
BEYZANUR,1,1,0
BEZALEL,2,0,1
BEZAWIT,1,1,0
BHAIRAVI,1,1,0
BHAKTI,12,1,0
BHARAT,5,0,1
BHARATH,1,0,1
BHARGAV,4,0,1
BHARGAVI,1,1,0
BHAVAN,3,0.333333333333333,0.666666666666667
BHAVANA,1,1,0
BHAVANDEEP,2,0,1
BHAVDEEP,1,0,1
BHAVEN,1,0,1
BHAVESH,12,0,1
BHAVI,1,1,0
BHAVIK,10,0,1
BHAVIKA,10,1,0
BHAVIN,9,0,1
BHAVINA,3,1,0
BHAVINI,10,1,0
BHAVISHA,7,1,0
BHAVNA,4,1,0
BHAVNEET,6,1,0
BHAVYA,9,0.665354090354091,0.33464590964591
BHOOMI,3,1,0
BHUMI,6,1,0
BHUMIKA,7,1,0
BHUPINDER,2,0,1
BHUVAN,1,0,1
BIAGIO,1,0,1
BIANCA,16,1,0
BIANCA-MARIA,1,1,0
BIANKA,6,1,0
BIBA,12,1,0
BIBI,16,1,0
BIBIANA,5,1,0
BIDDY,1,1,0
BIJAL,4,1,0
BIJAN,3,0,1
BIJOU,3,1,0
BIKRAM,2,0,1
BIKRAMJIT,1,0,1
BILAAL,16,0,1
BILAL,16,0,1
BILAN,9,1,0
BILAWAL,2,0,1
BILGE,1,1,0
BILL,16,0,1
BILLAL,15,0,1
BILLI,12,0.833333333333333,0.166666666666667
BILLI-JO,3,1,0
BILLIE,16,0.936108949189036,0.0638910508109641
BILLIE-,1,1,0
BILLIE-ANN,3,1,0
BILLIE-ANNE,1,1,0
BILLIE-JADE,2,1,0
BILLIE-JANE,1,1,0
BILLIE-JAY,2,1,0
BILLIE-JEAN,15,1,0
BILLIE-JO,16,1,0
BILLIE-JOE,6,0.904761904761905,0.0952380952380952
BILLIE-LEA,1,1,0
BILLIE-LEIGH,1,1,0
BILLIE-LOUISE,1,1,0
BILLIE-MAE,4,1,0
BILLIE-MAI,1,1,0
BILLIE-MARIE,3,1,0
BILLIE-MAY,2,1,0
BILLIE-RAE,3,1,0
BILLIE-ROSE,4,1,0
BILLIEJO,7,1,0
BILLY,16,0.00124355481492516,0.998756445185075
BILLY-DEAN,3,0,1
BILLY-GEORGE,1,0,1
BILLY-JAMES,2,0,1
BILLY-JAY,6,0,1
BILLY-JO,3,0.541666666666667,0.458333333333333
BILLY-JOE,16,0,1
BILLY-JOHN,1,0,1
BILLY-LEE,8,0,1
BILLY-RAY,11,0,1
BILLYBOB,1,0,1
BILLYJOE,6,0,1
BILLYLEE,1,0,1
BILQEES,4,1,0
BILQIS,6,1,0
BINA,2,1,0
BINAL,1,1,0
BINDI,1,1,0
BING,3,0.666666666666667,0.333333333333333
BINIAM,1,0,1
BINTA,13,1,0
BINTOU,6,1,0
BINTU,3,1,0
BINYAMEEN,8,0,1
BINYAMIN,10,0,1
BINYOMIN,8,0,1
BIPASHA,2,1,0
BIRDIE,1,1,0
BISHAN,1,0,1
BISHOP,1,0,1
BISMA,15,1,0
BISMAH,16,1,0
BISOLA,2,1,0
BITANIA,2,1,0
BIVON,1,0,1
BJORN,15,0,1
BLADE,16,0,1
BLADEN,7,0,1
BLAIKE,1,0,1
BLAIN,6,0,1
BLAINE,16,0,1
BLAIR,15,0.0722336143388775,0.927766385661122
BLAIRE,1,1,0
BLAISE,16,0.427957470518612,0.572042529481388
BLAITHIN,1,1,0
BLAIZE,13,0.417460317460317,0.582539682539682
BLAKE,16,0.00366950868044358,0.996330491319557
BLAKELEY,1,0,1
BLAKELY,1,0,1
BLANAID,1,1,0
BLANCA,6,1,0
BLANCHE,7,1,0
BLANE,14,0,1
BLANKA,5,1,0
BLAYDE,1,0,1
BLAYDEN,1,0,1
BLAYKE,3,0,1
BLAYN,1,0,1
BLAYNE,15,0,1
BLAYZE,6,0.166666666666667,0.833333333333333
BLAZE,16,0.189930555555556,0.810069444444444
BLAZEJ,5,0,1
BLEDDYN,16,0,1
BLEN,1,1,0
BLEND,2,0,1
BLENDA,1,1,0
BLENDI,2,0,1
BLEON,2,0,1
BLEONA,6,1,0
BLERIM,1,0,1
BLERINA,3,1,0
BLERON,2,0,1
BLERTA,3,1,0
BLERTON,2,0,1
BLESS,2,0,1
BLESSED,2,0,1
BLESSING,15,0.832929739577708,0.167070260422292
BLESSINGS,1,0,1
BLEU,10,0.14,0.86
BLIMA,5,1,0
BLIMI,5,1,0
BLIN,1,0,1
BLINA,1,1,0
BLISS,16,0.985576923076923,0.0144230769230769
BLOSSOM,16,1,0
BLU,15,0.161414141414141,0.838585858585858
BLUE,16,0.115881651243493,0.884118348756507
BLUEBELL,11,1,0
BLUEBELLE,7,1,0
BLYSS,1,1,0
BLYTH,3,0,1
BLYTHE,16,1,0
BO,13,0.820483614048408,0.179516385951592
BOADICEA,2,1,0
BOAZ,12,0,1
BOB,15,0,1
BOBBI,16,0.904333141178793,0.095666858821207
BOBBI-JO,13,1,0
BOBBI-LEE,1,1,0
BOBBI-LEIGH,3,1,0
BOBBI-ROSE,1,1,0
BOBBIE,16,0.7804303445413,0.2195696554587
BOBBIE-JADE,1,1,0
BOBBIE-JO,13,1,0
BOBBIE-LEIGH,8,1,0
BOBBIE-MAE,1,1,0
BOBBY,16,0.0346798007247378,0.965320199275262
BOBBY-DEAN,1,0,1
BOBBY-GEORGE,1,0,1
BOBBY-JACK,4,0,1
BOBBY-JAMES,4,0,1
BOBBY-JAY,2,0,1
BOBBY-JO,3,1,0
BOBBY-JOE,10,0,1
BOBBY-LEE,9,0,1
BOBBY-RAY,3,0,1
BOBBYJOE,1,0,1
BOBI,4,0,1
BODE,6,0,1
BODEN,8,0,1
BODHI,8,0.0113636363636364,0.988636363636364
BODI,4,0,1
BODIE,10,0.0266666666666667,0.973333333333333
BODRUL,2,0,1
BOE,9,0.836845466155811,0.163154533844189
BOGDAN,5,0,1
BOHAN,1,0,1
BOLUWATIFE,13,0.536919996031249,0.463080003968751
BON,4,0,1
BONHAM,1,0,1
BONIFACE,2,0,1
BONITA,16,1,0
BONNEE,1,1,0
BONNI,3,1,0
BONNIE,16,1,0
BONNIE-LEE,2,1,0
BONNIE-LEIGH,2,1,0
BONNIE-LOUISE,2,1,0
BONNIE-MAE,2,1,0
BONNIE-MAY,2,1,0
BONNIE-ROSE,1,1,0
BONNY,13,1,0
BONO,1,0,1
BOO,3,1,0
BORA,7,0.119047619047619,0.880952380952381
BORAN,8,0,1
BORIS,16,0,1
BORISLAV,1,0,1
BORUCH,12,0,1
BORYS,6,0,1
BOSCO,3,0,1
BOSTON,11,0,1
BOTAN,3,0,1
BOTOND,2,0,1
BOUBACAR,1,0,1
BOUCHRA,3,1,0
BOUDICA,1,1,0
BOUDICCA,2,1,0
BOW,6,0.935897435897436,0.0641025641025641
BOWDEN,1,0,1
BOWE,1,1,0
BOWEN,13,0,1
BOWIE,7,0.0535714285714286,0.946428571428571
BOYAN,2,0,1
BOYD,14,0,1
BOZENA,1,1,0
BOZHIDAR,1,0,1
BRACHA,11,1,0
BRACKEN,12,0.753507268362341,0.246492731637659
BRAD,16,0,1
BRAD-LEE,8,0,1
BRADAN,3,0,1
BRADD,3,0,1
BRADEN,16,0,1
BRADEY,2,0,1
BRADIE,12,0.5499592999593,0.4500407000407
BRADLEE,16,0,1
BRADLEIGH,14,0,1
BRADLEY,16,0,1
BRADLEY-JOHN,1,0,1
BRADLIE,1,0,1
BRADLY,14,0,1
BRADON,4,0,1
BRADY,16,0.0350575834253053,0.964942416574695
BRADYN,2,0,1
BRAE,8,0,1
BRAEDAN,3,0,1
BRAEDEN,10,0,1
BRAEDON,9,0,1
BRAEDYN,3,0,1
BRAELYN,1,0.5,0.5
BRAHIM,1,0,1
BRAIAN,1,0,1
BRAIDAN,2,0,1
BRAIDEN,15,0,1
BRAIDEN-LEE,1,0,1
BRAIDON,6,0,1
BRAIDY,3,0.25,0.75
BRAIENS,1,0,1
BRAJAN,4,0,1
BRAM,12,0,1
BRAMWELL,2,0,1
BRAN,5,0,1
BRANDAN,16,0,1
BRANDEN,16,0,1
BRANDEN-LEE,1,0,1
BRANDI,8,1,0
BRANDIE,3,1,0
BRANDO,3,0,1
BRANDON,16,0,1
BRANDON-,2,0,1
BRANDON-JAMES,3,0,1
BRANDON-LEE,16,0,1
BRANDON-LEIGH,2,0,1
BRANDONLEE,9,0,1
BRANDY,8,1,0
BRANDYN,10,0,1
BRANNAN,8,0,1
BRANNON,14,0,1
BRANON,1,0,1
BRANT,1,0,1
BRANWEN,13,1,0
BRAULIO,1,0,1
BRAX,1,0,1
BRAXTON,4,0,1
BRAY,13,0.0256410256410256,0.974358974358974
BRAYAN,6,0,1
BRAYDAN,8,0,1
BRAYDEN,16,0,1
BRAYDEN-LEE,1,0,1
BRAYDN,3,0,1
BRAYDON,16,0,1
BREA,8,1,0
BREAGH,1,1,0
BREAGHA,1,1,0
BREAH,2,1,0
BREANA,1,1,0
BREANNA,16,1,0
BREANNE,11,1,0
BRECON,5,0.4,0.6
BREDA,1,1,0
BREE,15,1,0
BREEANNA,2,1,0
BREEYA,1,1,0
BREEZE,15,1,0
BREINDEL,1,1,0
BREINDY,3,1,0
BREMNER,1,0,1
BRENDA,16,1,0
BRENDAN,16,0,1
BRENDAN-LEE,2,0,1
BRENDEN,16,0,1
BRENDON,16,0,1
BRENDYN,1,0,1
BRENNA,16,1,0
BRENNAN,16,0,1
BRENNEN,5,0,1
BRENNIG,1,0,1
BRENNON,6,0,1
BRENT,16,0,1
BRENTLEY,1,0,1
BRENTON,6,0,1
BRESHNA,1,1,0
BRET,16,0,1
BRETT,16,0,1
BRETTON,1,0,1
BREYA,2,1,0
BREYANA,1,1,0
BREYANNA,1,1,0
BREYDON,1,0,1
BRIA,15,1,0
BRIALLEN,2,1,0
BRIAN,16,0,1
BRIANA,16,1,0
BRIANIE,1,1,0
BRIANNA,16,1,0
BRIANNAH,6,1,0
BRIANNE,13,1,0
BRIANNY,1,1,0
BRIANY,3,1,0
BRIAR,11,1,0
BRIAR-ROSE,1,1,0
BRICE,12,0,1
BRIDE,2,1,0
BRIDEY,11,1,0
BRIDGET,16,1,0
BRIDGETTE,5,1,0
BRIDGIE,1,1,0
BRIDIE,16,1,0
BRIDIE-LEIGH,1,1,0
BRIE,2,1,0
BRIEANNA,7,1,0
BRIEGE,1,1,0
BRIELLE,8,1,0
BRIER,1,1,0
BRIERLEY,1,1,0
BRIGHT,7,0,1
BRIGID,9,1,0
BRIGIT,2,1,0
BRIGITA,3,1,0
BRIGITTE,8,1,0
BRIHANNA,5,1,0
BRIJESH,2,0,1
BRILEY,5,0.28,0.72
BRIN,1,0,1
BRINDA,1,1,0
BRINDLEY,3,0,1
BRINLEY,14,0,1
BRIONEY,7,1,0
BRIONI,3,1,0
BRIONIE,2,1,0
BRIONNY,1,1,0
BRIONY,16,1,0
BRISEIS,1,1,0
BRISHNA,1,1,0
BRISHTI,1,1,0
BRITANEY,1,1,0
BRITANI,1,1,0
BRITANIA,2,1,0
BRITANIE,1,1,0
BRITANNI,1,1,0
BRITANNIA,3,1,0
BRITANNY,2,1,0
BRITANY,7,1,0
BRITENY,2,1,0
BRITHANY,1,1,0
BRITNEE,1,1,0
BRITNEY,16,1,0
BRITNIE,1,1,0
BRITTANEY,2,1,0
BRITTANI,4,1,0
BRITTANIE,4,1,0
BRITTANNY,1,1,0
BRITTANY,15,1,0
BRITTENY,2,1,0
BRITTNEY,6,1,0
BRITTONY,2,1,0
BRIYANA,1,1,0
BROCHA,5,1,0
BROCHO,2,1,0
BROCK,12,0,1
BRODAN,1,0,1
BRODEE,1,1,0
BRODEN,9,0,1
BRODEY,8,0.0220588235294118,0.977941176470588
BRODI,9,0.192279942279942,0.807720057720058
BRODIE,16,0.365451601558451,0.634548398441548
BRODIE-LEE,1,0,1
BRODIE-LEIGH,3,1,0
BRODY,16,0.0883902899812545,0.911609710018746
BRODY-LEE,1,0,1
BROGAN,16,0.614529235833916,0.385470764166084
BROGAN-LEE,1,0,1
BROGEN,14,0.833333333333333,0.166666666666667
BROGHAN,8,0.8125,0.1875
BROMLEY,1,1,0
BROMWYN,2,1,0
BRONAGH,16,1,0
BRONIA,7,1,0
BRONNEN,1,1,0
BRONSON,13,0,1
BRONTE,16,1,0
BRONTI,1,1,0
BRONTIE,1,1,0
BRONTY,1,1,0
BRONWEN,16,1,0
BRONWYN,16,1,0
BRONYA,9,1,0
BROOK,16,0.394363460433879,0.605636539566121
BROOKE,16,0.98418433130222,0.0158156686977802
BROOKE-ELISE,1,1,0
BROOKE-LEA,1,1,0
BROOKE-LEIGH,6,1,0
BROOKE-LOUISE,4,1,0
BROOKE-MARIE,3,1,0
BROOKELYN,1,1,0
BROOKLAN,1,0,1
BROOKLIN,3,0,1
BROOKLYN,16,0.3701461178646,0.6298538821354
BROOKLYN-LEE,1,0,1
BROOKLYNE,1,1,0
BROOKLYNN,8,1,0
BROOKLYNNE,3,1,0
BROOKS,2,0,1
BRUCE,16,0,1
BRUCHA,9,1,0
BRUIN,1,0,1
BRUNA,10,1,0
BRUNELLA,1,1,0
BRUNO,16,0,1
BRUSK,1,0,1
BRYAN,16,0,1
BRYANA,9,1,0
BRYANIE,2,1,0
BRYANNA,12,1,0
BRYANY,5,1,0
BRYCE,16,0.00892857142857143,0.991071428571429
BRYCEN,1,0,1
BRYCHAN,13,0,1
BRYDEN,3,0,1
BRYDIE,15,1,0
BRYDON,4,0,1
BRYHER,13,1,0
BRYLEE,1,1,0
BRYLEIGH,1,1,0
BRYLEY,1,0,1
BRYN,16,0.0021551724137931,0.997844827586207
BRYNIE,1,1,0
BRYNLEE,1,0,1
BRYNLEY,15,0,1
BRYNMOR,8,0,1
BRYNN,12,0,1
BRYON,1,0,1
BRYONEY,2,1,0
BRYONI,11,1,0
BRYONIE,14,1,0
BRYONNY,2,1,0
BRYONY,16,1,0
BRYSON,11,0,1
BRYTHON,1,0,1
BUBACARR,2,0,1
BUCK,1,0,1
BUCKLEY,1,0,1
BUDDUG,4,1,0
BUDDY,14,0,1
BUKET,1,1,0
BUKHARI,3,0,1
BULENT,1,0,1
BULUT,2,0,1
BUNNY,1,1,0
BUNTY,1,1,0
BUPE,1,1,0
BURAK,16,0,1
BURCIN,1,1,0
BURCU,8,1,0
BURHAAN,4,0,1
BURHAN,14,0,1
BURHANUDDIN,3,0,1
BURT,3,0,1
BURTON,2,0,1
BUSBY,1,0,1
BUSE,14,1,0
BUSHRA,16,1,0
BUSHRAA,2,1,0
BUSHRAH,2,1,0
BUSRA,13,1,0
BUSTER,16,0,1
BUTHAYNA,1,1,0
BYRAN,7,0,1
BYREN,1,0,1
BYRON,16,0,1
C,8,0,1
C-JAY,8,0,1
CAAN,1,0,1
CABDI,1,0,1
CABHAN,4,0,1
CACEY,6,1,0
CACIA,1,1,0
CACIE,1,1,0
CADAN,15,0,1
CADANCE,2,1,0
CADE,16,0.00416666666666667,0.995833333333333
CADEE,6,1,0
CADEL,1,0,1
CADELL,8,0,1
CADEN,14,0.00639571319151128,0.993604286808489
CADEN-LEE,1,0,1
CADENCE,8,1,0
CADEY,6,1,0
CADHLA,2,1,0
CADI,15,1,0
CADIE,12,1,0
CADIE-LEIGH,1,1,0
CADON,2,0,1
CADY,9,1,0
CADYN,2,0,1
CAE,1,0,1
CAEDAN,2,0,1
CAEDEN,8,0,1
CAEDMON,2,0,1
CAEDON,1,0,1
CAEDYN,1,0,1
CAEL,14,0,1
CAELA,1,1,0
CAELAB,1,0,1
CAELAN,16,0.0249696616916745,0.975030338308325
CAELEB,6,0,1
CAELEN,6,0,1
CAELI,1,1,0
CAELIA,3,1,0
CAELIN,2,0,1
CAELUM,8,0,1
CAELYN,7,1,0
CAEN,1,0,1
CAERA,4,1,0
CAERAN,1,0,1
CAERON,2,0,1
CAERWYN,4,0,1
CAESAR,5,0,1
CAGAN,5,0,1
CAGDAS,3,0,1
CAGLA,10,1,0
CAHAL,3,0,1
CAHILL,1,0,1
CAI,16,0.00968473021185907,0.990315269788141
CAIA,6,1,0
CAIAN,8,0,1
CAICEY,1,1,0
CAID,1,0,1
CAIDAN,9,0,1
CAIDE,1,0,1
CAIDEN,15,0,1
CAIDEN-LEE,2,0,1
CAIDENCE,4,1,0
CAIDON,5,0,1
CAIDY,1,1,0
CAILA,2,1,0
CAILAN,14,0,1
CAILEAN,8,0,1
CAILEB,2,0,1
CAILEIGH,4,1,0
CAILEM,2,0,1
CAILEN,10,0,1
CAILEY,11,1,0
CAILIN,15,1,0
CAILLEN,1,0,1
CAILUM,12,0,1
CAILYN,9,1,0
CAIN,16,0,1
CAINAN,4,0,1
CAINE,16,0,1
CAIO,15,0,1
CAIRA,14,1,0
CAIRAN,11,0,1
CAIRO,16,0.0867408759939248,0.913259124006075
CAIRON,6,0,1
CAISEY,9,1,0
CAISHA,1,1,0
CAISON,1,0,1
CAIT,14,1,0
CAITHLIN,1,1,0
CAITIE,2,1,0
CAITLAIN,11,1,0
CAITLAN,16,1,0
CAITLAND,5,1,0
CAITLEN,14,1,0
CAITLIN,16,1,0
CAITLIN-JO,1,1,0
CAITLIN-MAE,1,1,0
CAITLIN-ROSE,4,1,0
CAITLINE,2,1,0
CAITLUN,1,1,0
CAITLYN,16,1,0
CAITLYN-ROSE,1,1,0
CAITLYNN,10,1,0
CAITRIN,1,1,0
CAITRIONA,13,1,0
CAIUS,16,0,1
CAJA,4,1,0
CAL,15,0,1
CALAIS,4,1,0
CALAM,9,0,1
CALAN,16,0,1
CALDER,4,0,1
CALE,16,0,1
CALEB,16,0,1
CALEB-JAMES,1,0,1
CALEDON,1,0,1
CALEIGH,7,1,0
CALEM,11,0,1
CALEN,9,0,1
CALEY,9,0.930555555555556,0.0694444444444444
CALI,16,1,0
CALIA,3,1,0
CALIANA,1,1,0
CALIB,9,0,1
CALIE,1,1,0
CALIN,4,0,1
CALINA,1,1,0
CALISE,3,1,0
CALISTA,14,1,0
CALIX,1,0,1
CALLA,13,1,0
CALLAGHAN,4,0,1
CALLAM,16,0,1
CALLAN,16,0.00755789022298456,0.992442109777015
CALLEIGH,7,1,0
CALLEM,3,0,1
CALLEN,14,0,1
CALLEY,3,1,0
CALLI,16,1,0
CALLIA,6,1,0
CALLIE,16,1,0
CALLIE-MAE,1,1,0
CALLIE-MAI,1,1,0
CALLIOPE,2,1,0
CALLISTA,12,1,0
CALLIUM,1,0,1
CALLON,1,0,1
CALLULA,1,1,0
CALLUM,16,0,1
CALLUM-JAMES,6,0,1
CALLUM-JAY,3,0,1
CALLUM-JOHN,2,0,1
CALLUMN,2,0,1
CALLUN,11,0,1
CALLY,16,0.990131578947368,0.00986842105263158
CALOGERO,3,0,1
CALON,2,0,1
CALUB,3,0,1
CALUM,16,0,1
CALUMN,3,0,1
CALVERT,1,0,1
CALVIN,16,0,1
CALVYN,1,0,1
CALYB,1,0,1
CALYPSO,15,1,0
CAM'RON,11,0,1
CAMARA,5,0.8,0.2
CAMARAN,1,0,1
CAMARI,1,0,1
CAMARON,6,0,1
CAMBELL,4,0,1
CAMDEN,15,0.0117647058823529,0.988235294117647
CAMELIA,9,1,0
CAMELLIA,4,1,0
CAMEO,3,1,0
CAMERAN,16,0,1
CAMEREN,6,0.166666666666667,0.833333333333333
CAMERON,16,0.0167374582602163,0.983262541739784
CAMERON-JAMES,8,0,1
CAMERON-JAY,3,0,1
CAMERON-LEE,6,0,1
CAMERON-LEWIS,1,0,1
CAMILA,13,1,0
CAMILIA,1,1,0
CAMILLA,16,1,0
CAMILLE,16,0.994791666666667,0.00520833333333334
CAMILLIA,1,1,0
CAMILO,11,0,1
CAMISHA,1,1,0
CAMMIE,1,1,0
CAMMY,1,1,0
CAMPBELL,16,0,1
CAMRAN,15,0,1
CAMREN,12,0,1
CAMRON,16,0,1
CAMRYN,11,0.896103896103896,0.103896103896104
CAN,16,0,1
CANAAN,11,0,1
CANAN,2,1,0
CANDACE,14,1,0
CANDEECE,1,1,0
CANDELA,1,1,0
CANDI,1,1,0
CANDICE,16,1,0
CANDIDA,1,1,0
CANDIS,1,1,0
CANDISE,1,1,0
CANDY,12,1,0
CANE,8,0,1
CANER,11,0,1
CANSEL,2,1,0
CANSU,13,1,0
CAOIFE,1,1,0
CAOILAINN,3,1,0
CAOILFHINN,1,1,0
CAOIMHE,16,1,0
CAOIMHIN,1,0,1
CAOL,1,0,1
CAOLAN,16,0,1
CAPRI,7,1,0
CAPRICE,16,1,0
CAPUCINE,6,1,0
CARA,16,1,0
CARA-LEIGH,1,1,0
CARA-LOUISE,3,1,0
CARADOG,1,0,1
CARAGH,16,1,0
CARAH,2,1,0
CARDELL,1,0,1
CAREN,3,1,0
CARENZA,12,1,0
CAREY,12,0.591468253968254,0.408531746031746
CARI,16,1,0
CARI-ANN,1,1,0
CARIAD,16,1,0
CARIANNE,2,1,0
CARICE,1,1,0
CARIDEE,1,1,0
CARINA,16,1,0
CARINE,3,1,0
CARINNA,1,1,0
CARIS,16,1,0
CARISMA,1,1,0
CARISS,3,1,0
CARISSA,15,1,0
CARISSE,1,1,0
CARITA,1,1,0
CARL,16,0,1
CARLA,16,1,0
CARLA-LOUISE,1,1,0
CARLEE,8,1,0
CARLEIGH,7,1,0
CARLENA,1,1,0
CARLENE,5,1,0
